ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
IRB202100182 -N,,68,"Change in brachial artery FMD, Change in global longitudinal strain, Feasibility, tolerability and safety of exercise training during breast cancer chemotherapy"
PI-0538-2017,,150,"Metagenomic study of mammary microbiota, Metagenomic study of intestinal microbiota"
21/4657,,100,"Results of the Readiness and Enablement Index for Health Technology (READHY), Grouping using (Readiness and Enablement Index for Health Technology) READHY-scores"
2019-KY-001-003,,15,"Number of participants with adverse events and dose limiting toxicities as assessed by CTCAE v5.0, Incidence of treatment-emergent adverse events [safety and tolerability] of dose of PD-1 Knockout CAR-T cells will be assessed using CTCAE v5.0, Monitoring the numbers of circulating AJMUC1 after infusion will be evaluated."
AbantIBU,Unable to achieve device(s) which will be used in this study.,0,Investigation of early detection of lymphedema after breast cancer surgery with Bio Electrical Impedance Analysis (BIA)
121K686,,51,"Change in Post-traumatic Growth Inventory, Change in Event-Related Rumination Inventory (ERRI), PTSD Checklist for DSM-5 (PCL-5)"
06-2020,,162,"Prevalence of Depression Symptoms, Prevalence of Anxiety Symptoms"
NADOPTIC,,20,"Optical monitoring of neoadjuvant chemotherapy in breast cancer patients, Prediction of pathological complete response to neoadjuvant chemotherapy using optical imaging"
CHIR-07-Sentimag,,70,"Accuracy of Magseed placement, Surgeon-rated ease of detected lymph node localization and removal, Number of nodes retrieved within the surgical specimen containing the Magseed, Surgeon-rated ease of detected labeled lesion localization and removal, Transcutaneous detection rate, Incidence of adverse events"
Pro00020917,,39,Pathological complete response (pCR) rate in the breast in patients with HER2-enriched and HER2-amplified breast cancer
Breast Cancer,,60,"Distance Incremental Shuttle Walk Test (SWTI), Maximum endurance test (1RM)"
BSU,,80,Clinical benefit rate (Tumor size)
URomLS Prot.0930/2021Rif. 6528,,20,"Immunogenic Cell Death induced by tumor cryoablation, cytokines, Immunogenic Cell Death induced by tumor cryoablation, pro-inflammatory cytokines, Immunogenic Cell Death induced by tumor cryoablation, immunosuppressive cytokines, Immunogenic Cell Death induced by tumor cryoablation, chemokines, Immunogenic Cell Death induced by tumor cryoablation, ATP and HMGB1"
SOLTI-1716,,46,Overall Response rate of pembrolizumab in combination with paclitaxel in HR+/HER2- non-luminal subtype advanced breast cancer defined by the PAM50 assay
2020-0724,,1200,"Sensitivity of the Droplet-BC screening test for detecting breast cancer, Specificity of the Droplet-BC screening test for detecting breast cancer"
LCCC 1749,,100,Compare the change in p16 from baseline to end of chemotherapy
GIMI-IRB-20005,,100,Number of patients with adverse events.
202302017,,256,"Safety Lead-In: Number of treatment-related complications, Randomized Controlled Trial: Ipsilateral breast cancer recurrence (IBTR) in the treated breast."
17-PP-19,,320,Number of women who had pre- and per-gravidic exposure and who developped a breast cancer
2015-4-6-003,,144,Impact of Learning workshops (self massages and self stretching) on sequelae pain after breast cancer surgery
FIRST,,30,Tumor ablation
PUMCH-BREAST-ctDNA screening,,300,ctDNA test model for early screening of breast cancer
147/19,,224,"Feasibility of an Educational Intervention: Adherence to the Intervention, Feasibility of an Educational Intervention: Drop Out After the Intervention Period, Number of Diet and Activity Recommendations, Breast Cancer Awareness"
STUDY00001641,,320,Screening adherence
PetrovRIO,,60,False negative rate of vacuum-assisted biopsy (FNR)
MD 177/2021,,80,"Variation of PD-L1 expression in Her-2 positive and triple negative breast cancer, Correlation between pathological complete response and PD-L1 expression"
A5481177,,500,Number of Participants With HR+ HER2- Advanced Breast Cancer (ABC) Treatment Patterns
2017-KY-19,,288,"overall survival，OS, Tumor specific survival time, CSS"
Radiotherapy in breast cancer,,47,Disease free survival
19-001004,,120,"Brain activity comparison between breast cancer survivors undergoing endocrine therapy and healthy matched control subject., Cognitive function comparison between breast cancer survivors undergoing endocrine therapy and healthy matched control subject."
19049,,50,"Proportion of specialist service that recommends chemoprevention prescribing by areas in England, Chemoprevention medication prescribing rates in primary care by area in England"
Z211100002921033,,175,"pCR(complete pathological response), Objective response rate (ORR), Quantification of CIC structure in tumor tissue"
CFDAIIUASABFDOBC,,116,"Diagnostic values of cell free DNA using ALU (Arthrobacter luteus) sequence levels (247 bp (base pair), 115bp) and its integrity in peripheral blood of breast cancer patients as non invasive marker."
Breast cancer neoadjuvant,,45,Immune checkpoints
wanghaibo,,10,Adverse Events (AE)
2020-KY-063,,200,Correlation between biomarkers and efficacy of tumor therapy
PUMCH-BC502,,200,"immune inflammation-related protein complexes, blood markers"
852-20,Study is moving to a different institution with PI.,0,"Change in inhibitory control, Change in cognitive flexibility, Change in executive function processing, Change in spatial working memory reaction time, Change in short-term memory, Change in verbal memory, Change in relational memory, Change in spatial working memory accuracy, Change in brain volume, Change in white matter integrity, Change in resting state functional connectivity, Change in self-reported cognitive function"
2020[84],,40,"Visual Assessment of HER2 expression in Breast cancer using 99mTc-NM-02 SPECT/CT Scan, Semiquantitative Assessment of Breast and other Metastatic Lesions in 99mTc-NM-02 SPECT/CT Scan, Safety of 99mTc-NM-02 through Adverse Event Monitoring, Changes of 99mTc-NM-02 uptake, Safety of 188Re-NM-02 through Adverse Event Monitoring"
SYSEC-KY-2018-018,,358,Overall survival
19-045,,194,Number of participants with treatment-related adverse events as assessed by CTCAE v4.0
PROICM 2019-16-BCU,,45,Sexual quality of life: EORTC SHQ-C22 questionnaire
IBCSG 59-19,,400,Duration of invasive disease free survival of all randomized participants.
33293720.9.0000.5505,,60,Improvements in heart rate variability indices and rate of perceived exertion after intervention with telerehabilitation.
199080,,100000,To compare the cost effectiveness of breast cancer screening with digital breast tomosynthesis and 2DDM vs standard screening with 2DDM
SLN SPECT,,4,Role of SPECT/CT in sentinel lymph node detection in breast cancer
SOLTI-1907,,55,Overall Response rate
SDS-HER-01-2018,,18,Preliminary determination of HER2 receptor concentration ranges detected with inPROBE corresponding to HER2 receptor status (positive/negative) as determined by current diagnostic standard (IHC/FISH).
APHP211502,,189,Proportion of patient with a compliance to the Personalized Prevention Plan established during the initial risk assessment consultation.
ISTMET-BHWGI2022-1,,40,Survival
SCHBCC-N024,,186,"Stage 1: Effectiveness of cryo-ablation, Stage 2: LRFS(local-regional free survival), Stage 2: Effectiveness of cryo-ablation (3 months after cryo-ablation)"
4817,,10,Breast somatic mutations
Cpetptmrbc,,72,identification of recurrence
EEBC,,1000,"5-y DFS, 5-y BCSS"
symptom of breast cancer,,120,"Trajectory of Symptom distress, Trajectory of fatigue, Trajectory of distress temperature, Trajectory of Functional Assessment of Cancer Therapy - Breast Cancer (FACT-B), Trajectory of PHQ-4: Validated Screening Tool for Anxiety and Depression, Trajectory of ISI: Insomnia Severity Index"
IEO 0761/,,264,"Prevalence of mutations in breast cancer risk-associated genes, Genetic test turnaround time, Percentage of informative specimens"
CELC-G-301,,701,Progression Free Survival (PFS) in Patients with PIK3CA WT and PIK3CA MT Breast Cancer
CARMA-2101,,100,"Antitumor activity of the CAR-macrophages against organoids from HER2 negative, HER2 low and HER2 positive breast cancers, Antitumor activity of the CAR-macrophages compared to non-modified macrophages"
RWD_abemaciclib,,108,Progression-free survival
Tiresias,,150,Progression free survival
A5481125,,847,"Description of patients demographics receiving Palbociclib, Clinical characteristics of patients receiving Palbociclib, Adjuvant therapies received for the treatment of early or locally advanced breast cancer (Stages 0-IIIa), To describe treatments received in the advanced/ metastatic setting, before and after palbociclib combination use., Percentage of Participants With Reduced Doses of Palbociclib, Percentage of Participants With Dose interruption of Palbociclib, Percentage of Participants With discontinuation of Palbociclib, Percentage of Participants With Delay Doses of Palbociclib, Supportive therapies received by patients while receiving palbociclib combination treatments, Proportion of patients who are progression free at multiple intervals (e.g.12, 18 months), Proportion of patients with Objective response rate (ORR), Overall survival rate"
20-1789.cc,,100,"Determine changes in sexual well-being for women with breast cancer, Determine educational resources currently used for sexual health information, Determine educational resources currently used for sexual health information, Determine patients preferred type of education for sexual health"
ML40952,,300,Work Productivity and Activity Impairment
DBCG Proton trial,,1502,Radiation associated ischaemic and valvular heart disease
OOTR-N016/KBCRN-B-003/HT-PAB,,141,"Pre-operative Endocrine Prognostic Index (PEPI Score), EndoPredict™ EPclin Score"
710/2021,,30,"arm circumference measurement, arm circumference measurement, arm circumference measurement, lymphedema symptom, lymphedema symptom, lymphedema symptom, self-care"
19-003028,,400,Specificity of ultrasound in detection of breast cancer
KL166-IIS-001,,48,Objective response rate（ORR）
