ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
DBCG Proton trial,The DBCG Proton Trial: Photon Versus Proton Radiation Therapy for Early Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental",Radiation,Parallel Assignment,Not Applicable,No,Yes
OOTR-N016/KBCRN-B-003/HT-PAB,"Neoadjuvant Hormonal Therapy Plus Palbociclib in Operable, Hormone Sensitive and HER2-Negative Primary Breast Cancer",Completed,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No
710/2021,The Effect of Arm Exercises on Arm Oedema After Breast Cancer Surgery,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
KL166-IIS-001,HER2-positive Breast Cancer Project Initiated by Investigators,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
N19ASC,Avoiding Sentinel Lymph Node Biopsy in Breast Cancer Patients After Neoadjuvant Chemotherapy,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
SNBvsPET/MRI 2,Axillary Staging in Early Breast Cancer: SNB vs PET/MRI,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
dingxwyh01,Abraxane Combined With Xeloda as Neo-Adjuvant Chemotherapy in Early Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Not Applicable,No,No
SNUH_FMI,Molecular Profiling in Young (<50 Years of Age) Patients With Metastatic Breast Cancer,Unknown status,Interventional,Other,Genetic,Single Group Assignment,Not Applicable,No,No
2022/0035986,Vocational Rehabilitation for the Return to Work of Breast Cancer Patients: a Feasibility Study,Recruiting,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No
RF-2013-02358165,Axillary Reverse Mapping (ARM) in Breast Cancer Surgery to Prevent Lymphedema. (ARMtrial),Unknown status,Interventional,"Experimental, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No
18-516,GDC-0084 in Combination With Trastuzumab for Patients With HER2-Positive Breast Cancer Brain Metastases,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
19-147,Study of the Imaging Agent 18F-Var3 in Patients With Breast Cancer,Completed,Interventional,Experimental,"Diagnostic Test, Other",Single Group Assignment,Phase 1,Yes,No
dingxwyh02,The Efficacy and Safety of Abraxane Combined With Epirubicin as Neoadjuvant Chemotherapy in Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Not Applicable,No,No
19 SEIN 14,E-monitoring of Patients Under Adjuvant Hormonotherapy for Breast Cancer.,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
AURORA,New Techniques to evAlUate Response to neOadjuvant Treatments in bReast cAncer (AURORA),Unknown status,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
BR02/03/21,Quadratic Phenotypic Optimisation Platform (QPOP) Utilisation to Enhance Selection of Patient Therapy Through Patient Derived Organoids in Breast Cancer,Recruiting,Interventional,Experimental,Device,Sequential Assignment,Phase 1,No,No
2018-9529,TMEM-MRI: A Pilot Feasibility Study of MRI for Imaging of TMEM in Patients With Operable Breast Cancer,Recruiting,Interventional,"Other, Other","Device, Procedure",Parallel Assignment,Not Applicable,No,Yes
REaCT-HER TIME,Evaluating 6-months of HER2-targeted Therapy in Patients With HER2 Positive Early-stage Breast Cancer That Achieve a Pathological Complete Response to Neoadjuvant Systemic Therapy,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 4,No,No
SOLTI-1911,Neoadjuvant and Adjuvant Ribociclib and ET for Clinically High-risk ER+ and HER2- Breast Cancer,Recruiting,Interventional,"Experimental, Other","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
IC 2018-08,Breast Cancer Risk After Diagnostic Gene Sequencing,Completed,Interventional,Experimental,"Genetic, Genetic, Behavioral",Single Group Assignment,Not Applicable,No,No
AHQU-2021006,Genetic Predictors to Acupuncture Response for Arthralgia Induced by Aromatase Inhibitors in Patients With Breast Cancer,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
V2011201,Efficacy Evaluation of Sabizabulin Monotherapy Versus Active Control for Treatment of ER+HER2- Metastatic Breast Cancer,Withdrawn,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
HCB-ONC001 (ML41519),Omission of Surgery in Clinically Low-risk HER2positive Breast Cancer With High HER2 Addiction and a Complete Response Following Standard Anti-HER2-based Neoadjuvant Therapy,Recruiting,Interventional,"Experimental, No Intervention",Biological,Single Group Assignment,Phase 2,No,No
IRB-300002157,RAD 1802: Pilot Trial of Dose Adapted Stereotactic Body Radiotherapy for Early Stage Breast Cancer Patients Eligible for Post-Operative Accelerated Partial Breast Irradiation (APBI),Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,Yes
Shengjing-LCG009,Efficacy and Safety of Pyrotinib Maleate Combined With ARX788 Neoadjuvant Treatment in Breast Cancer Patients,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
OTT-19-06,"A Phase II Window of Opportunity Trial of PRMT5 Inhibitor, GSK3326595, in Early Stage Breast Cancer",Completed,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 2,No,No
FAST feasibility in CU,Weekly Single Fraction Hypofractionated Adjuvant Radiotherapy for Early Stage Breast Cancer,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Phase 2,No,No
BC001,Moving on After Breast Cancer Plus- for Breast Cancer Survivors,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
UT BCS ECS Study,Feasibility and Effectiveness of an Internet-based Intervention to Manage Fatigue in Breast Cancer Survivors,Withdrawn,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
19-509,Genetic Testing for All Breast Cancer Patients (GET FACTS),"Active, not recruiting",Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
19-277,Safety of Lower Scalp Cooling Temperature to Prevent Hair Loss From Chemotherapy in Breast Cancer Patients,"Active, not recruiting",Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
UW 20-064,Magnetic Marker Localization for Occult Breast Cancer and Target Axillary Dissection in Node-positive Breast Cancer Post-neoadjuvant Chemotherapy,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
20-1039,Couples QOL in Metastatic Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
UC-0105/1701,SAFIR-PI3K A Phase II Randomized Maintenance Trial Comparing Alpelisib and Fulvestrant Versus Chemotherapy in PIK3CA Mutated Advanced Breast Cancer,Terminated,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
18-1025,Coping Together After Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
09.2019.984,Effectiveness of Stellate Ganglion Block in Breast Cancer Related Lymphedema,Unknown status,Interventional,Experimental,Combination Product,Single Group Assignment,Not Applicable,No,No
O4M-B001,Feasibility of Integrating the Outcomes4Me Smartphone Navigation Application Into the Care Management of Breast Cancer Patients,Unknown status,Interventional,Other,Device,Single Group Assignment,Not Applicable,No,No
TaiHao TVGH2020-07-006AC#1,Evaluation of TaiHao Breast Ultrasound Diagnosis Software RN-CES Descartes,"Active, not recruiting",Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
STGKS001,Artificial Intelligence in Large-scale Breast Cancer Screening,"Active, not recruiting",Interventional,"Active Comparator, Experimental","Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,No
19-086,"AKT Inhibitor, Ipatasertib, With Endocrine and CDK 4/6 Inhibitor for Patients With Metastatic Breast Cancer (TAKTIC)","Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 1,Yes,No
CNER 202107/05,eHealth Intervention for Medication Adherence in Breast Cancer Survivors,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
Optimune Trial,Evaluating a Novel Web-based Intervention for Breast Cancer Survivors,Terminated,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No
1808019498,Converting HR+ Breast Cancer Into an Individualized Vaccine,Recruiting,Interventional,"Active Comparator, Active Comparator, Active Comparator, Active Comparator","Radiation, Drug, Biological",Parallel Assignment,Phase 2,Yes,No
HYGEE,Evaluation of the Impact of the Use of Hypnotherapy Performed by a Virtual Reality Toolalong the Care Pathway of Patients Undergoing Breast Cancer Treatment.,"Active, not recruiting",Interventional,"No Intervention, Experimental",Device,Parallel Assignment,Not Applicable,No,No
STU-2018-0370,Infrared Imaging for Breast Cancer Modeling,Completed,Interventional,Experimental,"Procedure, Procedure",Single Group Assignment,Not Applicable,No,No
Prix Ruban Rose/2021/FF-01,Personalized Follow-up After Breast Cancer Surgery Via Electronic Patient Reported Outcomes,Completed,Interventional,"Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
Pyrotinib neoadjuvant,Clinical Study of Pyrotinib in Neoadjuvant Therapy of HR-positive and HER2-positive Breast Cancer,Not yet recruiting,Interventional,"Experimental, Active Comparator","Combination Product, Combination Product",Parallel Assignment,Phase 2,No,No
FUSCC-OMIT,A Trial Evaluating the Efficacy of Metastasectomy in Patients With Oligo-Metastatic Breast Cancer(OMIT),Recruiting,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
SMC 2021-02-102,"Selective Omission of Sentinel Lymph Node Biopsy After Neoadjuvant Chemotherapy In HER-2 Positive/Triple Negative Breast Cancer Patients With Excellent Radiologic Response to the Breast and Axilla, Prospective, Multi-center, Single-arm studyTrial",Enrolling by invitation,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
BSMMU/2019/8874,Effect of Vitamin C and E in Breast Cancer Patients Undergoing Chemotherapy,Unknown status,Interventional,"No Intervention, Active Comparator",Drug,Parallel Assignment,Not Applicable,No,No
99mTc-ADAPT6 vs 99mTc-DARPinG3,Molecular Imaging of HER2 Expression in HER2-positive Breast Cancer Using 99mTc-ADAPT6 vs 99mTc-DARPinG3,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Not Applicable,No,No
Telemonitoring BCS,"Effect of Telemonitoring on Functionality, Quality of Life and Risk of Lymphedema in Breast Cancer Survivors",Recruiting,Interventional,"Experimental, Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
CCTG MA.39,Regional Radiotherapy in Biomarker Low-Risk Node Positive and T3N0 Breast Cancer,Recruiting,Interventional,"Active Comparator, Active Comparator","Radiation, Other",Parallel Assignment,Phase 3,No,Yes
19/317-2101,Postmastecomy Internal Mammary Nodal Irradiation for High-risk Breast Cancer Patients,Recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Phase 3,No,No
2021-1116,Efficacy of Supplement Adjuvant Capecitabine in HR+/HER2- Breast Cancer Patients With High Risks,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 3,No,No
SPT-2021-002,Inetetamab Combined With Anti-PD-1 Monoclonal Antibody and Albumin-Bound Paclitaxel for HER2+ Metastatic Breast Cancer,Not yet recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 4,No,No
s66248-aim2,Identifying Prognostic Variables for Persistent UL Dysfunctions After Breast Cancer Treatment -Reliability and Validity,Recruiting,Interventional,"Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
BGB-290-201,Efficacy and Safety of BGB-290 in the Treatment of Metastatic HER2-Negative Breast Cancer Patients With BRCA Mutation in China,Completed,Interventional,"Experimental, Experimental",Drug,Parallel Assignment,Phase 2,No,No
10038,Autologous huMNC2-CAR44 T Cells for Breast Cancer Targeting Cleaved Form of MUC1 (MUC1*),Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Biological, Biological",Sequential Assignment,Phase 1,Yes,No
Pro00085352,Examining Bioactivity of PVSRIPO in Invasive Breast Cancer,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Early Phase 1,Yes,No
EORTC 1745-ETF-BCG,Adjuvant Palbociclib in Elderly Patients With Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
4523,Acupuncture Treatment of Vasomotor Symptoms in Breast Cancer Patients,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
17-455,The AVIATOR Study: Trastuzumab and Vinorelbine With Avelumab OR Avelumab & Utomilumab in Advanced HER2+ Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Crossover Assignment,Phase 2,Yes,No
01AB21- PIK3CA,Clinical Trial of Alpelisb and Tucatinib in Patients With PIK3CA-Mutant HER2+ Metastatic Breast Cancer.,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",Yes,No
ICO-N-2017-12,Clinico-biological Data Collection Study of Metastatic Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental","Procedure, Biological, Behavioral",Parallel Assignment,Not Applicable,No,No
Optimune Trial Add-on,Evaluating a Novel Web-based Intervention for Breast Cancer Survivors,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No
2018396H,TCHP Versus EC -THP as Neoadjuvant Treatment for HER2-Positive Breast Cancer,Unknown status,Interventional,"Experimental, Active Comparator",Drug,Parallel Assignment,Phase 2,No,No
PROICM 2020-05 SKY,Evaluation of the Efficacy of a Physical Therapy-yoga-patient Educational Program for Breast Cancer Patients With Pain Due to Hormonal Therapy Treatment.,Recruiting,Interventional,"Experimental, Placebo Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No
