ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
33293720.9.0000.5505,Tele-rehabilitation in Women With Breast Cancer During COVID-19 Pandemic.,1005 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No,60
199080,Prospective Trial of Digital Breast Tomosynthesis (DBT) in Breast Cancer Screening.,2023 days,Recruiting,Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Parallel Assignment,Not Applicable,No,No,100000
SLN SPECT,Sentinel Lymph Node Identification in Patients With Breast Cancer Using SPECT/CT,1523 days,Unknown status,Interventional,"Active Comparator, Active Comparator","Device, Device",Sequential Assignment,Not Applicable,No,No,4
SOLTI-1907,Study With Atezolizumab in Combination With Trastuzumab and Vinorelbine in HER2-positive Advanced/Metastatic Breast Cancer,1442 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,55
SDS-HER-01-2018,Safety and Efficacy Assessment of Diagnostic Microprobe (inPROBE) in Women at High Risk of Breast Cancer,190 days,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,18
APHP211502,Breast Cancer Prevention and Screening Membership,3593 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,189
SCHBCC-N024,Evaluation for the Effectiveness and Safety of Cryo-ablation in the Treatment of Early Invasive Breast Cancer,1826 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes,186
CELC-G-301,Gedatolisib Plus Fulvestrant With or Without Palbociclib vs Standard-of-Care for the Treatment of Patients With Advanced or Metastatic HR+/HER2- Breast Cancer (VIKTORIA-1),1461 days,Recruiting,Interventional,"Experimental, Experimental, Active Comparator, Experimental, Active Comparator, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,701
DBCG Proton trial,The DBCG Proton Trial: Photon Versus Proton Radiation Therapy for Early Breast Cancer,6209 days,Recruiting,Interventional,"Active Comparator, Experimental",Radiation,Parallel Assignment,Not Applicable,No,Yes,1502
OOTR-N016/KBCRN-B-003/HT-PAB,"Neoadjuvant Hormonal Therapy Plus Palbociclib in Operable, Hormone Sensitive and HER2-Negative Primary Breast Cancer",891 days,Completed,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,141
710/2021,The Effect of Arm Exercises on Arm Oedema After Breast Cancer Surgery,773 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,30
KL166-IIS-001,HER2-positive Breast Cancer Project Initiated by Investigators,944 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,48
N19ASC,Avoiding Sentinel Lymph Node Biopsy in Breast Cancer Patients After Neoadjuvant Chemotherapy,2738 days,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,340
SNBvsPET/MRI 2,Axillary Staging in Early Breast Cancer: SNB vs PET/MRI,1687 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,247
dingxwyh01,Abraxane Combined With Xeloda as Neo-Adjuvant Chemotherapy in Early Breast Cancer,669 days,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Not Applicable,No,No,50
SNUH_FMI,Molecular Profiling in Young (<50 Years of Age) Patients With Metastatic Breast Cancer,669 days,Unknown status,Interventional,Other,Genetic,Single Group Assignment,Not Applicable,No,No,200
2022/0035986,Vocational Rehabilitation for the Return to Work of Breast Cancer Patients: a Feasibility Study,723 days,Recruiting,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No,25
RF-2013-02358165,Axillary Reverse Mapping (ARM) in Breast Cancer Surgery to Prevent Lymphedema. (ARMtrial),1049 days,Unknown status,Interventional,"Experimental, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No,300
18-516,GDC-0084 in Combination With Trastuzumab for Patients With HER2-Positive Breast Cancer Brain Metastases,2484 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,47
19-147,Study of the Imaging Agent 18F-Var3 in Patients With Breast Cancer,406 days,Completed,Interventional,Experimental,"Diagnostic Test, Other",Single Group Assignment,Phase 1,Yes,No,6
dingxwyh02,The Efficacy and Safety of Abraxane Combined With Epirubicin as Neoadjuvant Chemotherapy in Breast Cancer,669 days,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Not Applicable,No,No,50
19 SEIN 14,E-monitoring of Patients Under Adjuvant Hormonotherapy for Breast Cancer.,509 days,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,45
AURORA,New Techniques to evAlUate Response to neOadjuvant Treatments in bReast cAncer (AURORA),730 days,Unknown status,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,20
BR02/03/21,Quadratic Phenotypic Optimisation Platform (QPOP) Utilisation to Enhance Selection of Patient Therapy Through Patient Derived Organoids in Breast Cancer,1486 days,Recruiting,Interventional,Experimental,Device,Sequential Assignment,Phase 1,No,No,26
2018-9529,TMEM-MRI: A Pilot Feasibility Study of MRI for Imaging of TMEM in Patients With Operable Breast Cancer,1998 days,Recruiting,Interventional,"Other, Other","Device, Procedure",Parallel Assignment,Not Applicable,No,Yes,75
REaCT-HER TIME,Evaluating 6-months of HER2-targeted Therapy in Patients With HER2 Positive Early-stage Breast Cancer That Achieve a Pathological Complete Response to Neoadjuvant Systemic Therapy,627 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 4,No,No,20
SOLTI-1911,Neoadjuvant and Adjuvant Ribociclib and ET for Clinically High-risk ER+ and HER2- Breast Cancer,2981 days,Recruiting,Interventional,"Experimental, Other","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No,530
IC 2018-08,Breast Cancer Risk After Diagnostic Gene Sequencing,863 days,Completed,Interventional,Experimental,"Genetic, Genetic, Behavioral",Single Group Assignment,Not Applicable,No,No,405
AHQU-2021006,Genetic Predictors to Acupuncture Response for Arthralgia Induced by Aromatase Inhibitors in Patients With Breast Cancer,735 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,59
V2011201,Efficacy Evaluation of Sabizabulin Monotherapy Versus Active Control for Treatment of ER+HER2- Metastatic Breast Cancer,438 days,Withdrawn,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,0
HCB-ONC001 (ML41519),Omission of Surgery in Clinically Low-risk HER2positive Breast Cancer With High HER2 Addiction and a Complete Response Following Standard Anti-HER2-based Neoadjuvant Therapy,2260 days,Recruiting,Interventional,"Experimental, No Intervention",Biological,Single Group Assignment,Phase 2,No,No,17
IRB-300002157,RAD 1802: Pilot Trial of Dose Adapted Stereotactic Body Radiotherapy for Early Stage Breast Cancer Patients Eligible for Post-Operative Accelerated Partial Breast Irradiation (APBI),2295 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,Yes,40
Shengjing-LCG009,Efficacy and Safety of Pyrotinib Maleate Combined With ARX788 Neoadjuvant Treatment in Breast Cancer Patients,2205 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,30
OTT-19-06,"A Phase II Window of Opportunity Trial of PRMT5 Inhibitor, GSK3326595, in Early Stage Breast Cancer",433 days,Completed,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 2,No,No,40
FAST feasibility in CU,Weekly Single Fraction Hypofractionated Adjuvant Radiotherapy for Early Stage Breast Cancer,1969 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Phase 2,No,No,20
BC001,Moving on After Breast Cancer Plus- for Breast Cancer Survivors,1213 days,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,354
UT BCS ECS Study,Feasibility and Effectiveness of an Internet-based Intervention to Manage Fatigue in Breast Cancer Survivors,218 days,Withdrawn,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,0
19-509,Genetic Testing for All Breast Cancer Patients (GET FACTS),1370 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,400
19-277,Safety of Lower Scalp Cooling Temperature to Prevent Hair Loss From Chemotherapy in Breast Cancer Patients,1252 days,"Active, not recruiting",Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes,34
UW 20-064,Magnetic Marker Localization for Occult Breast Cancer and Target Axillary Dissection in Node-positive Breast Cancer Post-neoadjuvant Chemotherapy,2999 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,30
20-1039,Couples QOL in Metastatic Breast Cancer,1338 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,112
UC-0105/1701,SAFIR-PI3K A Phase II Randomized Maintenance Trial Comparing Alpelisib and Fulvestrant Versus Chemotherapy in PIK3CA Mutated Advanced Breast Cancer,1709 days,Terminated,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,31
18-1025,Coping Together After Breast Cancer,1438 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,240
09.2019.984,Effectiveness of Stellate Ganglion Block in Breast Cancer Related Lymphedema,85 days,Unknown status,Interventional,Experimental,Combination Product,Single Group Assignment,Not Applicable,No,No,22
O4M-B001,Feasibility of Integrating the Outcomes4Me Smartphone Navigation Application Into the Care Management of Breast Cancer Patients,122 days,Unknown status,Interventional,Other,Device,Single Group Assignment,Not Applicable,No,No,125
TaiHao TVGH2020-07-006AC#1,Evaluation of TaiHao Breast Ultrasound Diagnosis Software RN-CES Descartes,60 days,"Active, not recruiting",Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,3
STGKS001,Artificial Intelligence in Large-scale Breast Cancer Screening,1340 days,"Active, not recruiting",Interventional,"Active Comparator, Experimental","Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,No,55579
19-086,"AKT Inhibitor, Ipatasertib, With Endocrine and CDK 4/6 Inhibitor for Patients With Metastatic Breast Cancer (TAKTIC)",2012 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 1,Yes,No,77
CNER 202107/05,eHealth Intervention for Medication Adherence in Breast Cancer Survivors,512 days,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,15
Optimune Trial,Evaluating a Novel Web-based Intervention for Breast Cancer Survivors,1506 days,Terminated,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No,64
1808019498,Converting HR+ Breast Cancer Into an Individualized Vaccine,2114 days,Recruiting,Interventional,"Active Comparator, Active Comparator, Active Comparator, Active Comparator","Radiation, Drug, Biological",Parallel Assignment,Phase 2,Yes,No,100
HYGEE,Evaluation of the Impact of the Use of Hypnotherapy Performed by a Virtual Reality Toolalong the Care Pathway of Patients Undergoing Breast Cancer Treatment.,1080 days,"Active, not recruiting",Interventional,"No Intervention, Experimental",Device,Parallel Assignment,Not Applicable,No,No,27
STU-2018-0370,Infrared Imaging for Breast Cancer Modeling,1084 days,Completed,Interventional,Experimental,"Procedure, Procedure",Single Group Assignment,Not Applicable,No,No,11
Prix Ruban Rose/2021/FF-01,Personalized Follow-up After Breast Cancer Surgery Via Electronic Patient Reported Outcomes,455 days,Completed,Interventional,"Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,20
Pyrotinib neoadjuvant,Clinical Study of Pyrotinib in Neoadjuvant Therapy of HR-positive and HER2-positive Breast Cancer,899 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Combination Product, Combination Product",Parallel Assignment,Phase 2,No,No,80
FUSCC-OMIT,A Trial Evaluating the Efficacy of Metastasectomy in Patients With Oligo-Metastatic Breast Cancer(OMIT),1917 days,Recruiting,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No,172
SMC 2021-02-102,"Selective Omission of Sentinel Lymph Node Biopsy After Neoadjuvant Chemotherapy In HER-2 Positive/Triple Negative Breast Cancer Patients With Excellent Radiologic Response to the Breast and Axilla, Prospective, Multi-center, Single-arm studyTrial",2652 days,Enrolling by invitation,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,178
BSMMU/2019/8874,Effect of Vitamin C and E in Breast Cancer Patients Undergoing Chemotherapy,341 days,Unknown status,Interventional,"No Intervention, Active Comparator",Drug,Parallel Assignment,Not Applicable,No,No,80
99mTc-ADAPT6 vs 99mTc-DARPinG3,Molecular Imaging of HER2 Expression in HER2-positive Breast Cancer Using 99mTc-ADAPT6 vs 99mTc-DARPinG3,265 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Not Applicable,No,No,15
Telemonitoring BCS,"Effect of Telemonitoring on Functionality, Quality of Life and Risk of Lymphedema in Breast Cancer Survivors",122 days,Recruiting,Interventional,"Experimental, Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,30
CCTG MA.39,Regional Radiotherapy in Biomarker Low-Risk Node Positive and T3N0 Breast Cancer,3501 days,Recruiting,Interventional,"Active Comparator, Active Comparator","Radiation, Other",Parallel Assignment,Phase 3,No,Yes,2140
19/317-2101,Postmastecomy Internal Mammary Nodal Irradiation for High-risk Breast Cancer Patients,1454 days,Recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Phase 3,No,No,2000
2021-1116,Efficacy of Supplement Adjuvant Capecitabine in HR+/HER2- Breast Cancer Patients With High Risks,2526 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 3,No,No,400
SPT-2021-002,Inetetamab Combined With Anti-PD-1 Monoclonal Antibody and Albumin-Bound Paclitaxel for HER2+ Metastatic Breast Cancer,1390 days,Not yet recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 4,No,No,70
s66248-aim2,Identifying Prognostic Variables for Persistent UL Dysfunctions After Breast Cancer Treatment -Reliability and Validity,1012 days,Recruiting,Interventional,"Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,150
