ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
17/222,Under- and Overdiagnosis in BreastScreen Norway,Completed,Observational,Other,,Non-Probability Sample,No,No
A5481160,"Demographics, Characteristics, Treatment Patterns and Clinical Outcomes of Palbociclib Treated Patients in Israel",Completed,Observational,Cohort,,Non-Probability Sample,,
ICO-2019-16,Satisfaction and QUality of Life After Breast REconstruction,Completed,Observational,Cohort,,Non-Probability Sample,No,No
M21REO,"Association of Silicone Breast Implant Reconstruction and -Enlargement With Overall Wellbeing, Lymphoma and Auto-immune Disease",Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
22-001501,Characterization of TRPC6 to Predict and Prevent Chemotherapy Related Cardiac Toxicity and Heart Failure in Patients With Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
ET19-283,Prospective Study of Immune Alterations in Operable Breast and Ovarian Carcinoma,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PROICM 2018-09 BSA,Clinical Database of Safe Personalized Adjuvant Breast Radiotherapy Based on Individual Radiosensitivity,Recruiting,Observational,Other,,Non-Probability Sample,No,No
2019-4432,Screening Contrast-enhanced Mammography,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NCC2021-0335,Local and Regional Radiotherapy for Nipple Sparing Mastectomy With Implant,Enrolling by invitation,Observational,Cohort,,Probability Sample,No,No
LET,Lymphedema Treatment Registry,Not yet recruiting,Observational,Cohort,2 Years,Non-Probability Sample,Yes,No
TNBC,Epidemiology of TNBC in Asyut Clinical Oncology Department,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
2020-06245,Effects of Expectations and Body Image in Breast Reconstruction,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-20,Detection and Analysis of MBC With Heterogeneous ER Expression,Completed,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-21,Pyrotinib Plus Trastuzumab Versus Pertuzumab Plus Trastuzumab,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
A5481128,Treatment Patterns and Clinical Outcomes Among Patients With HR+/HER2- mBC Receiving Palbociclib Combination Therapy in the US Community Oncology Setting.,Completed,Observational,Cohort,,Non-Probability Sample,,
YOUNGBC-3,500mg Fulvestrant Versus Everolimus Plus Exemestane in MBC Patients Refractory to Previous AI,Completed,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-14,Pyrotinib Plus Vinorelbine Versus Lapatinib Plus Capecitabine,Completed,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-25,Negative ER Expression Assessed by 18F-FES PET/CT in the MBC With ER-positive Primary Tumor,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
E2018210,Effect of Radiation and Its Timing on Breast Reconstruction in Chinese Patients,Unknown status,Observational,Cohort,2 Years,Non-Probability Sample,No,No
ShandongCHI-14,Pyrotinib Combined With Trastuzumab And Chemotherapy in HER2-positive MBC,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
BreastIls-1605,Endogenous Mechanisms of Inactivation of the Endothelium Tumor,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
7964,Clinical Validation of an Artificial Intelligence Algorithm to Help Interpret Mammograms,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2005P002282,Evaluating the Shared Decision Making Process Scale in Cancer Screening Decisions,Completed,Observational,Cohort,,Non-Probability Sample,No,No
mastectomy coverage formula 20,New Formula to Predict the Need for Reconstructive Coverage Following Mastectomy,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
17-001546,Evaluating Mepitel in Post-mastectomy Patients and the Role of the Skin Microbiome in Radiation Dermatitis,Completed,Observational,Cohort,,Probability Sample,,
C3441038,Korea Post Marketing Surveillance (PMS) Study of Talzenna®,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,Yes,No
ICO-2021-36,Pain and Functional Recovery After Mastectomy and IBR by Implant: Prepectoral Versus Subpectoral Technique,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
L424,Cancer Surveillance and Support,Recruiting,Observational,Other,,Non-Probability Sample,No,No
20CX6399,Histolog Comparison to Standard Histology,"Active, not recruiting",Observational,Other,,Non-Probability Sample,No,No
Patient reported outcome,Patient Reported Outcomes After Oncoplastic Breast Conserving Surgery,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
21-374,A Study of Tumor Imaging With Multispectral Optoacoustic Tomography,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
3212,"A Survey to Assess Knowledge, Attitudes & Practices in Surgeons With Regards to Breast Conservation Surgery & Mastectomy",Completed,Observational,Cohort,,Non-Probability Sample,No,No
2018-06,Early Detection of Imaging-derived Subclinical Cardiac Injuries,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
B7391012,A Post-marketing Surveillance to Assess the Safety and Effectiveness of Zirabev in Domestic Patients With Various Cancer,Not yet recruiting,Observational,Case-Only,,Probability Sample,,
ONCO-FIRE,ONCOlogy-targeted NLP-powered Federated Hyper-archItecture and Data Sharing Framework for Health Data Reusability,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2021-01534,Effect of Breast Implants om Mammography Screening,"Active, not recruiting",Observational,Cohort,2 Years,Non-Probability Sample,No,No
PPMP_INO,Persistant Post-mastectomy Pain in Breast Cancer : Incidence and Risk Factors,Completed,Observational,Cohort,,Probability Sample,No,No
Xiangan Hospital of XMU,Artificial Intelligence Analysis of Fluorescence Image to Intraoperatively Detect Metastatic Sentinel Lymph Node.,Recruiting,Observational,Other,,Non-Probability Sample,Yes,No
110.01-2018-GES-0001,Automated Breast Ultrasound as an Adjunct to Screening Digital Breast Tomosynthesis,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,Yes
NURS-IIR-IUSCCC-0748,Biobehavioral Correlates of Cancer-related Cognitive Dysfunction and Its Co-occurring Symptoms,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
1/2020,Impact of Oncotype DX® on Treatment Recommendation and Its Economic Evaluation Under the Brazilian Society Perspective,Completed,Observational,Cohort,5 Years,Non-Probability Sample,No,No
060021-HMO-CTIL,"Health Care Disparities in Culturally Diverse, Special Needs & Disadvantaged Populations - Bridging the Gap",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
MC210301,"Long Term Followup of Patients Enrolled in MC1137, BEAUTY Study",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Yunwei Wei 2019-09-12,Study on Skin Microbiome of HFS,Unknown status,Observational,Case-Control,,Probability Sample,Yes,No
K170702J,Follow-up of Elderly Patients in Ambulatory Surgery,Unknown status,Observational,Cohort,,Probability Sample,No,No
2019-01395CE3508,Early Detection of Cardiotoxicity From Systemic and Radiation Therapy in Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
1613494-3,Improving Cancer Screening and Prevention During the COVID-19 Pandemic in Underserved Populations of Rhode Island,Unknown status,Observational,Ecologic or Community,,Non-Probability Sample,No,No
CHIR-05-IMTAD,Ideal Marker for Targeted Axillary Dissection,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
EAQ201,COVID-19 Related Financial Hardship and Distress in Women Who Decline TMIST (EA1151) Participation,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PANTHERA,Evaluation of the Subjectively Perceived Pelvic Floor Function in Patients With Gynecological Tumors and Breast Cancer Under Systemic Tumor Therapy Using a Validated Questionnaire,Recruiting,Observational,Case-Only,3 Years,Non-Probability Sample,No,No
BIOC-046,A Therapy Treatment Response Trial in Patients With Leptomeningeal Metastases ((LM) Using CNSide,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2017C0165,Cancer Activity and Lifestyle Measurement Study,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No
RFID,Breast Localization: RFID Tags vs Wire Localization,Recruiting,Observational,Case-Control,,Probability Sample,No,No
5505,PREDICTION OF GERMLINE BRCA 1/2 GENES FROM HEALTHY OVARIES,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
2016-051-000001- 1731,The Role of Circadian Rhythms in Cancer-Related Symptoms,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,No
None yet,An Observational Prospective Cohort Study Using an Actigraphy Device.,Completed,Observational,Cohort,,Non-Probability Sample,No,No
Abbreviated Breast MRI,Abbreviated Breast MRI in Cancer Detection,Unknown status,Observational,Case-Crossover,,Probability Sample,No,No
2669,Prospective Observational Study for Breast Microcalcifications Classification With Artificial Intelligence Techniques,Recruiting,Observational,Cohort,,Probability Sample,No,No
MCC-20257,Barriers to Screening Breast MRI Utilization Among Patients at Elevated Risk,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No
9785,Non-contrast DWI for Supplemental Screening,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,Yes
1708018471,Effect of Radiotherapy Variables on Circulating Effectors of Immune Response and Local Microbiome,Completed,Observational,Other,,Non-Probability Sample,No,No
APBI Registry,Registry for Accelerated Partial Breast Irradiation With (SBRT) or (IMRT),Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
ABCB1 in Paclitaxel Neuropathy,ABCB1 SNPs as Predictors of PIPN,Completed,Observational,Cohort,,Non-Probability Sample,No,No
19-315,Glucose Monitoring to Predict and Treat High Glucose Levels After Steroid Treatment,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
SB-2101,Risk Prediction of Taxane Chemotherapy-Induced Peripheral Neuropathy,Recruiting,Observational,Cohort,,Probability Sample,No,No
2017/2805,Evaluation And Risk Assessment For Persistent Postsurgical Pain After Breast Surgery,"Active, not recruiting",Observational,Other,,Non-Probability Sample,No,No
Breast MRI,Non-mass Enhancement in Breast MRI,Unknown status,Observational,Case-Only,,Non-Probability Sample,,
DOLPHIN,Dynamic Observational Study With PET of 68Ga-HER2-affibody in Anti-HER2 Treatment,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CLEE011ARU01,"A Prospective Observational Study to Describe Clinical Outcomes, Treatment Patterns, Patients Characteristics Among Patients With HR+/HER2- Advanced BC Initiating Treatment With Risarg®, Piqray®, Endocrine Therapy or Chemotherapy in Routine Clinical Practice in Russia",Recruiting,Observational,Cohort,,Non-Probability Sample,,
FIS-APBI-2019-02,Accelerated Partial Irradiation of the Breast: New Altered Fractionation,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
17/0774,Extended Follow up of the TARGIT-A Trial,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
21-3100.cc,Second Opinions in Oncology,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
2-028-22,Chemotherapy Induced Cognitive Impairment,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
3734,Assessment of the Breast Cosmesis Using Deep Neural Networks: an Exploratory Study (ABCD),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
6077,Multicentric Study for External Validation of a Deep Learning Model for Mammographic Breast Density Categorization,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
2022LS100,Assessing the Time Demands of Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
GS3,GlobalSurg 3: Quality and Outcomes in Global Cancer Surgery,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
QT MG PRE Phase 1,Understanding Patient Experience and Preferences for the QT Scanner Compared to Mammography,Suspended,Observational,Case-Only,,Non-Probability Sample,No,Yes
2018-A011828-47,Assessment of Health Related Quality of Life in Women Who Underwent Breast Reconstruction After Radical Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2020-0501,Contrast-Enhanced Mammography for the Evaluation of Mammographic Microcalcifications,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CBYL719CKR01,A Post Marketing Surveillance on Piqray in Korea,Recruiting,Observational,Cohort,,Non-Probability Sample,,
RECHMPL20_0005-UF7919,Hepatitis C Screening Paired With Mammography,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Telerehab CH Usability,Telerehabilitation Cognitive Impairments Following Chemotherapy Usability Study,Completed,Observational,Other,,Non-Probability Sample,No,No
ICO-N-2018-15,Delayed Breast Reconstruction by Prepectoral Implant After Lipo-preparation (RM2prepec),"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
2018-0345-1105,Feasibility of Preoperative Tattooing of Percutaneously Biopsied Axillary Lymph Node: A Quasi Experimental Pilot Study,Unknown status,Observational,Other,,Non-Probability Sample,No,No
RECHMPL21_0379,Cancer Predictive Score on Breast MRI,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
2022000438,Clinical Outcomes and Patient Satisfaction With Use of the Amma System,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,Yes
RS1307/20,Prognostic Relevance of Coagulation Activation in RIsk Assessment and Stratification,Recruiting,Observational,Cohort,24 Months,Non-Probability Sample,No,No
H-18041465,Pain Phenotyping of Patients With Bone Cancer Pain,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
18-294,"Evaluation of an Online, Remote Cognitive Battery for Use in Cancer Survivorship","Active, not recruiting",Observational,Case-Control,,Non-Probability Sample,No,No
2020-0974,Comparison of Synthetic Mammography Versus Full-Field Digital Mammography in Image Interpretation and Performance Metrics,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
HP-00088085,GammaPod Registry and Quality of Life Nomogram,Recruiting,Observational,Cohort,1 Year,Probability Sample,No,Yes
NL82061.096.22,Evaluating the Use of Magnetic Resonance Imaging and Contrast Enhanced Mammography After MagTrace® Use,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
MCC-20335,Evaluation of EnVisio SmartClip for Intraoperative Localization of Breast Masses,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,Yes
NEUROTOX,Relationship Between Serum Interleukin-20 Level and Paclitaxel-associated Neuropathy,Recruiting,Observational,Case-Only,,Probability Sample,Yes,No
ELEGANT - ET18-262,Satisfaction & Efficacy of Compression Using Surgical Gloves in Chemo-induced Peripheral Neuropathies,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
A5481065,Post Marketing Surveillance Study to Observe Safety and Efficacy of IBRANCE®,Recruiting,Observational,Ecologic or Community,,Probability Sample,No,
HP-00068503,Cardiac MRI Biomarker Testing (GCC 1618),Terminated,Observational,Case-Control,,Probability Sample,No,No
NL72808.068.20,AFT: Introduction of a Full Breast Reconstructive Method,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
R17096,Intraoperative Tissue Identification by Analyzing Surgical Smoke,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
DMT-2015.002,Delphinus SoftVue™ ROC Reader Study,Completed,Observational,Case-Control,,Probability Sample,No,Yes
KY2019,Recurrence Risk Evaluation by 21-gene Detection,Completed,Observational,Cohort,,Probability Sample,No,No
S61864,Magnetic Seed Localisation for Nonpalpable Breast Lesions,Completed,Observational,Cohort,,Non-Probability Sample,No,Yes
IRAS 283017,Comparison of Patient Reported Outcome Measures Using the BREAST-Q Questionnaire in Patients Undergoing Pre Versus Sub-pectoral Implant Based Immediate Breast Reconstruction.,Unknown status,Observational,Cohort,,Probability Sample,No,No
20/WS/0110,Contrast-Free Magnetic Resonance Imaging for Breast Disease,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
LBS-CA-PTL-033,HydroMARK Post-market Clinical Follow-up Study,Recruiting,Observational,Other,6 Weeks,Non-Probability Sample,No,Yes
U21-08-4519,Assessment of Cancer Related Brain Fog Using the Test of Strategic Learning,Recruiting,Observational,Case-Only,,Probability Sample,No,No
PB-2020-01,ARGONAUT: Stool and Blood Sample Bank for Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
2020_16,"Metabolism, Circadian Rhythms and Ovarian Function",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2019P001434-1,Online Trial Examining Validity and Reliability of the Shared Decision Making Process Survey,Completed,Observational,Other,,Non-Probability Sample,No,No
PMPS 1,Incidence and Factors Affecting the Development and Outcome of Post Mastectomy Pain Syndrome,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No
2000031319,The In4M Study: Integrating 4 Measures to Assess Physical Function in Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
ICO-2020-22,"Breast Reconstruction by Exclusive Lipomodulin : Feasibility, Evaluation of the Aesthetic Result and Quality of Life",Completed,Observational,Cohort,,Non-Probability Sample,No,No
ERC#2020-3379-10190,Outcomes of Local Perforator Flaps in Oncoplastic Surgery,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
21-055,Study of the Safety of MRI Scans in People Who Have Breast Tissue Expanders After Mastectomy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
1955K,Multicentric Risk Evaluation of Autologous Fat Grafting Procedure,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,No
UPCC 21220,CTNNA1 Familial Expansion Study,Recruiting,Observational,Cohort,1 Year,Non-Probability Sample,No,No
MAGREES,Effectiveness and Safety of Preoperative Magnetic Detection of Non-palpable Breast Lesions,Completed,Observational,Cohort,,Non-Probability Sample,No,No
9778,MRI Characterization of Mammographically Detected DCIS,Recruiting,Observational,Cohort,,Non-Probability Sample,No,Yes
TRV-002,Defining the Clinical Potential of Mass Response as a Biomarker for Patient Tumor Sensitivity to Drugs,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
KND-QX-CXXT,Clinical Study of Vascular Imaging Evaluation of Computed Tomography Photoacoustic Breast Imaging System,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
ALTERTASTE,Improving Food Pleasure and Intake of Oncology Patients Receiving Chemotherapy,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
Pro00052823,Tissue Expansion in Breast Reconstruction Without Drains,Completed,Observational,Case-Only,,Non-Probability Sample,No,Yes
CIRCADIAN,Chemotherapy-induced Circadian Rhythm Disruption,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Real-HER2,Real World Study on the Efficacy and Safety of Anti-HER2 Therapy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
19SM5221,Development and Validation of a Tumour Oxygenation Monitoring Probe,Unknown status,Observational,Other,,Non-Probability Sample,No,No
PUMA-NER-9501,HER-Seq: A Blood-based Screening Study to Identify Patients With HER2 Mutations for Enrollment Into Clinical Research Studies of Neratinib,Terminated,Observational,Cohort,,Non-Probability Sample,No,Yes
DWI breast cancer,Diffusion Magnetic Resonance Imaging in Mamographically Detected Asymmetric Densities,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
0141-19-RMB,Characterization of Skin Microbiome Profile and its Correlation to Radiation Dermatitis,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
2021P000209,Mapping and Quantifying Lymphatic Drainage of the Arms Alternate Pathway,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IRB 22-211,Global Cardio Oncology Registry,Recruiting,Observational,Cohort,18 Months,Non-Probability Sample,No,No
CONFIDENCE-01,CONFIDENCE Registry,Enrolling by invitation,Observational,Other,2 Years,Probability Sample,No,Yes
18-00684,Abbreviated Breast MRI (AB-MRI) With Golden-angle Radial Compressed-sensing and Parallel Imaging (GRASP),"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
2019(S073),Application of Ultrasound Artificial Intelligence and Elastography in Differential Diagnosis of Breast Nodules,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,Yes
OSU-21198,Stakeholder Assessment of Implementing the Commission on Cancer Operative Standards for Cancer Surgery,Completed,Observational,Cohort,,Non-Probability Sample,No,No
018-781,DWIBS-MRI: An Adjunct to the Traditional Diagnostic Breast Imaging Evaluation,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NCC2962,Multi-center Study of Deep Learning AI in Breast Mass,Recruiting,Observational,Other,,Probability Sample,No,No
CLINP-001013,Retrospective Data Collection on the Use of Motiva Flora TE in Breast Reconstruction,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
ICO-2021-05,"Retrospective and Prospective Evaluation of Scapulohumeral Comfort, Aesthetic Result and Quality of Life",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
735CLD Rev.04,The ClearCoast™ Magnetic Resonance Outcome PMS Study,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CLP-0004,A Retrospective Breast Reconstruction Study,Completed,Observational,Cohort,,Non-Probability Sample,No,No
APHP220816,Cognitive Processing Slowness as a Marker of Cognitive Impairment in Non-central Nervous System Cancer Patients,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
GOG-8023,Biomarkers in Blood and Tissue Samples From Patients With Uterine Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,,
PSG SOMAVAC,Evaluation of SOMAVAC 100 Sustained Vacuum System,Completed,Observational,Case-Only,,Non-Probability Sample,No,Yes
FMSU2017-003,Fujifilm Feature Comparison Reader Study to Compare Old vs New Processing,Completed,Observational,Case-Crossover,,Non-Probability Sample,No,Yes
PER-19-03,Wide-field Optical Coherence Tomography Imaging of Excised Breast Tissue.,Completed,Observational,Cohort,,Probability Sample,No,Yes
ETNA-CRCI,Development and Validation of a Novel Functional Eye-Tracking Software Application for Cancer-related Cognitive Impairment (CRCI),Recruiting,Observational,Cohort,,Probability Sample,No,No
2019-A00121-56,Analgesia Nociception Index (ANI) After Unilateral Radical Mastectomy as an Evaluation of Paravertebral Block Failure,"Active, not recruiting",Observational,Cohort,26 Months,Non-Probability Sample,No,No
2018-9409,Intra-Operative Radiation Registry,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
2020-0980,What Women Want: Real Time Results During Screening Mammography in the Era of Patient-Experience Driven Care,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2019P003607-11,Data Analysis for Drug Repurposing for Effective Alzheimers Medicines (DREAM)- Anastrozole vs Exemestane/Letrozole,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,Yes,No
19-005445,Determining Molecular Drivers of Radiation Dermatitis,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
2020-3,Experiment on the Use of Innovative Computer Vision Technologies for Analysis of Medical Images in the Moscow Healthcare System,Recruiting,Observational,Case-Crossover,,Non-Probability Sample,No,No
CIRB Ref. No: 2017/3139,Adolescent and Young Adult Cancer Patients: Cognitive Toxicity on Survivorship (ACTS),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
LCCC1754,UNC Pleural Fluid Registry,Recruiting,Observational,Cohort,32 Years,Non-Probability Sample,No,No
Tomosymthesis,Tomosymthesis for Breast Mass Lesion Characterization,Not yet recruiting,Observational,Case-Only,,Probability Sample,,
BCA-AI,Development of Artificial Intelligence System for Detection and Diagnosis of Breast Lesion Using Mammography,Completed,Observational,Cohort,,Probability Sample,No,No
20190701041GH,Antler Plate on Preventing Mammary High-risk Lesions From Malignant Development,Recruiting,Observational,Cohort,1 Year,Non-Probability Sample,No,No
CMUH106-REC2-117,Evaluation of the Efficacy of Acupuncture in Chemotherapy Induced Peripheral Neuropathy,Unknown status,Observational,Case-Control,,Probability Sample,No,No
2019-06214,Psychological Effects of Implant Loss,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
v24-9-2017,Psyhosomatic Medicine in Oncologic and Cardiac Disease Study,Unknown status,Observational,Case-Control,5 Years,Non-Probability Sample,No,No
Ageing-NIO,"Examining and Comparing the Temporal Changes and Results of Cosmetic, Quality of Life and Patient Satisfaction Achieved With Immediate and Delayed-immediate Implant-based Breast Reconstruction Procedures and Contralateral Symmetrization Techniques",Recruiting,Observational,Cohort,,Probability Sample,No,No
DPCVC,Diagnostic Power Comparison Between VOCs and CTCs,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
0S-20-6,Health Literacy in Understanding Radiation Therapy Information in Patients Undergoing Definitive Radiation Therapy,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
SRNSM,"Examining the Cosmetic Results, Quality of Life and Patient Satisfaction Achieved With Skin Reducing Nipple Sparing Mastectomy and Implant Based Breast Reconstruction, and Comparing it to Classic Skin- Sparing Mastectomy and Implant- Based Breast Reconstructive Surgeries",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PI-3958,Opioid Free Anaesthesia in Oncologic Gynaecological Surgery: Is There Any Benefit?,Completed,Observational,Case-Control,,Non-Probability Sample,Yes,No
06-2020/1,Validation of the Russian and Kazakh Versions of the Beck Depression Inventory and Beck Anxiety Inventory,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
4-2019-0834,Surgical and Oncologic Outcomes After Robotic Nipple Sparing Mastectomy and Immediate Reconstruction,"Active, not recruiting",Observational,Case-Control,,Non-Probability Sample,No,No
P050001 TiLOOP® Bra Pocket,Post Market Clinical Follow Up to Patient Reported Outcome Using a Titanised Polypropylene Mesh (TiLOOP® Bra Pocket),"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
1049/2018,Hair-Safe Study: Scalp Cooling for Hair Saving in Women Undergoing Chemotherapy,Completed,Observational,Cohort,,Non-Probability Sample,No,Yes
2012285106,Dedicated Breast CT for Quantitative Breast Density Measurements in Mexican-origin Women in Southern Arizona,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
BREAST HEMATOMA,Vacuum-Assisted Evacuation (VAE) Of Symptomatic and/or Voluminous Breast Haematomas Following Surgeries And Percutaneous Procedures: a Retrospective Analysis,Completed,Observational,Other,,Non-Probability Sample,No,Yes
D161100000816006,Ultrasound-based Diagnostic Model for Differentiating Malignant Breast Lesion From Benign Lesion,Completed,Observational,Cohort,,Probability Sample,No,No
226947,SS-INQ Information Needs Questionnaire in Sjögrens Syndrome,Completed,Observational,Other,,Non-Probability Sample,No,No
15/LO/1038 BRACELET,Breast: Recovery After Axillary Node Clearance - Evaluating Limbs With E-Technology (the BRACELET Study),Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
NCCH1905,Asian Multicenter Prospective Study of ctDNA Sequencing,Recruiting,Observational,Cohort,,Probability Sample,No,No
RocuMAST,Effect of Rocuronium on BIS Values,Recruiting,Observational,Cohort,,Probability Sample,No,No
1920306,Purpose in Life Survey,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
2022-01423-01,Optimizing Postoperative Recovery After Breast Reconstruction With Autologous Tissue (BestDIEP),Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Breast 2019,PCR Based CEUS in BI RADS 4A Nodules,Unknown status,Observational,Cohort,,Probability Sample,No,No
2021-082,DIEP Flap Surgery and Intraabdominal Pressure,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
18232,Chemotherapy Induced Peripheral Neuropathy Natural History Study (EPIPHANY),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
4-2020-0165,Prospective Study of MAstectomy With Reconstruction Including Robot Endoscopic Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IRB#56402,Investigating the Diagnostic Potential of Tear Proteins in Cancer - A Pilot Study,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
APHP210583,Personalized Estimation of Doses Delivered During Image Guided Radiation Therapy Tests,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
202202104,Implementation of a Health System Intervention to Improve Quality of Cancer Care for Rural Patients,Recruiting,Observational,Other,,Non-Probability Sample,No,No
2019/629,Breast Density Measurements in Digital Mammography and Breast Tomosynthesis Systems of Different Pixel Size,Unknown status,Observational,Cohort,,Non-Probability Sample,No,Yes
RB-vs-RG-BCS,"Comparison of the Cosmetic Results, Quality of Life and Patient Satisfaction Achieved With Round-block and Retroglandular Oncoplastic Breast Conserving Surgeries",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
RIPH3-RNI18/NEUROTAX,Involvement of SK3 Calcium Channel in Taxane Neuropathy,Completed,Observational,Cohort,,Probability Sample,No,No
