ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
Pyrotinib neoadjuvant,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Phase 2
SMC 2021-02-102,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
BSMMU/2019/8874,Interventional,No Intervention,Drug,Parallel Assignment,,,,Not Applicable
20210601,Observational,,Procedure,,Cohort,3 Years,Non-Probability Sample,
99mTc-ADAPT6 vs 99mTc-DARPinG3,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
Telemonitoring BCS,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CCTG MA.39,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Phase 3
IRB-2022-166,Observational,,Other,,Other,,Non-Probability Sample,
2490,Observational,,Diagnostic Test,,Case-Control,,Non-Probability Sample,
19/317-2101,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 3
2021-1116,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
SPT-2021-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
s66248-aim2,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
Cardiac safety study,Observational,,Drug,,Cohort,,Non-Probability Sample,
BGB-290-201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
10038,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
Pro00085352,Interventional,Experimental,Biological,Single Group Assignment,,,,Early Phase 1
EORTC 1745-ETF-BCG,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
4523,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
17-455,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 2
01AB21- PIK3CA,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
ICO-N-2017-12,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
Optimune Trial Add-on,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2018396H,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
PROICM 2020-05 SKY,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
GEICAM/2019-01,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
69HCL18_0310,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
2004-261-112,Observational,,Diagnostic Test,,Cohort,2 Years,Non-Probability Sample,
MA-BC-Ⅱ-040,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
APHP190505,Observational,,Other,,Case-Control,,Probability Sample,
2019-1183,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 1
IJB-NERABRAIN-ODN-007,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
19-066,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
EH18-203,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
22-280,Observational,,Other,,Cohort,,Non-Probability Sample,
BakircayU,Observational,,Other,,Cohort,,Non-Probability Sample,
A211801,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
SGK-SFC-001,Observational,,,,Other,10 Years,Non-Probability Sample,
CAAE: 39277420.8.0000.5313,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
D361DC00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
PekingUMCH-NM25,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
5354-CL-1201,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 2
MO39485,Observational,,Drug,,Cohort,,Probability Sample,
SOC.03/20-21,Observational,,Other,,Cohort,,Probability Sample,
2019-228,Interventional,No Intervention,Radiation,Parallel Assignment,,,,Not Applicable
800646,Interventional,Experimental,Behavioral,Sequential Assignment,,,,Not Applicable
NP 1521/19,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
DARE,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
M2020 UK01,Observational,,Device,,Other,,Probability Sample,
[2019]52,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
TRA05-GEFPICS,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
NOV2016PhD818,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
BCP28,Observational,,,,Cohort,,Probability Sample,
GEICAM/2017-01_IBCSG 62-20_BIG,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 3
GCO 17-00563,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PekingUMCH-FES-BC-1,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
EudraCT 2020-005200-19,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
D9673C00007,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
LY2022-028-B,Observational,,Drug,,Cohort,,Probability Sample,
ATADEK-2021/14/16,Observational,,Other,,Case-Control,,Probability Sample,
J21125,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
2018-9567,Observational,,Diagnostic Test,,Other,,Non-Probability Sample,
UBRS20139,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
20 SEIN 13,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
TQB3616-III-03,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
MD.21.09.521.R,Observational,,Procedure,,Other,6 Months,Probability Sample,
20190283,Interventional,Experimental,Radiation,Sequential Assignment,,,,Not Applicable
FISH in breast cancer,Observational,,,,Case-Control,,Non-Probability Sample,
NCC3075,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
CSPC-DMS-BC-13,Observational,,,,Case-Control,,Non-Probability Sample,
19900601,Interventional,Experimental,Behavioral,Factorial Assignment,,,,Not Applicable
DBCG RT Recon,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
PROICM 2019-11 PRA,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
201819010.4,Observational,,Genetic,,Cohort,,Non-Probability Sample,
2018NTLS176,Observational,,Radiation,,Cohort,,Non-Probability Sample,
SPHIC-TR-BCa2022-01,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 1
C3441020,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SRMBCNabP2022,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 1
18ON009,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
FDRT-BC009,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
18-223,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
MCC-20897,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
21-3576.cc,Observational,,,,Cohort,,Probability Sample,
IIT2018-01-McArthur-IPI,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BCHRD201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
BrIMA,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
ChanghaiHTB,Interventional,Experimental,Procedure,Sequential Assignment,,,,Not Applicable
2018-00838; ch20Weber2,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
WSG-AM09,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
UC-0107/1903,Interventional,Other,Radiation,Parallel Assignment,,,,Not Applicable
PANONC-1 Version: 1.1,Observational,,Drug,,Cohort,10 Years,Non-Probability Sample,
AB-MR for Second Breast Cancer,Observational,,,,Cohort,,Non-Probability Sample,
AHQU-2021005,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2019/FO244363,Observational,,,,Cohort,,Non-Probability Sample,
BC-2019,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
18-058,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
KYJJ-2021-186,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
19-188,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BCSCO003,Observational,,,,Cohort,,Non-Probability Sample,
SP00049673,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
DSCN-EHT-NIS-BC001,Observational,,Other,,Cohort,,Non-Probability Sample,
17-512,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
SCBCS025,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
19-239,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
LC2019L06,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
GEICAM/2016-03,Observational,,,,Cohort,,Non-Probability Sample,
Breast Screening with DWI,Observational,,,,Cohort,,Non-Probability Sample,
HNCH-BC003,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Phase 2
21-183,Observational,,Procedure,,Cohort,,Non-Probability Sample,
02AB21-TucErBit,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IRB-48150,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
ICO-2019-03,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
Soh-Med-23-01-07,Observational,,Diagnostic Test,,Case-Only,,Probability Sample,
IUSCC-0613,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
Breast Cancer Screening,Observational,,,,Cohort,1 Year,Non-Probability Sample,
16-145,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
A5481144,Observational,,,,Cohort,,Non-Probability Sample,
D133FR00138,Observational,,,,Other,18 Months,Non-Probability Sample,
State University of São Paulo,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
21-440,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
YM107109E,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
GEICAM/2020-08,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2023-09,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
ARV-471-BC-201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
grid.412416.4,Observational,,,,Other,,Probability Sample,
18-333,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
MA-BC-II-024,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
intestinal flora study,Observational,,Drug,,Case-Only,,Non-Probability Sample,
ML42450,Observational,,,,Cohort,,Probability Sample,
GNC-035-103,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
DS8201-A-U301,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
2018-09-007A,Observational,,Procedure,,Cohort,,Probability Sample,
M18DMB,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
Microbiome_BC&PnC,Observational,,Drug,,Cohort,,Probability Sample,
R148/2021,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
ZNJC201935,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
SCHBCC0N026,Interventional,Active Comparator,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
MUKDEN-09,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
NACAGEP,Observational,,Diagnostic Test,,Other,,Non-Probability Sample,
2017MayPR898,Observational,,Other,,Cohort,,Probability Sample,
RGT-419B_01-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
NCC 2019-0098,Observational,,Other,,Case-Only,,Probability Sample,
21-003046,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 2
SSGJ-302H-mBC-IIT-01,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
KY2019-070,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
A5481155,Observational,,,,Cohort,,Non-Probability Sample,
D8530C00001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
APHP191059,Observational,,,,Cohort,,Non-Probability Sample,
1R01CA236860-01A1,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
BT006,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
310-17-SZMC,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2017-01282 (BASEC),Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
CINDERELLA,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
CCR5214,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
MCC-21757,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 2
K2022-025-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
PUMCH-MUSD,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
0720222005,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Phase 3
D967UC00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
PLEASURABLE,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
21822,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CTNZ-2017-01,Interventional,Other,Drug,Crossover Assignment,,,,Phase 2
20-649,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2020-08-06R,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
Qassim QDs-VELD,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 1
HR-BLTN-III-EBC,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
COV-19 BUMDC,Observational,,Procedure,,Case-Only,18 Months,Non-Probability Sample,
14-833-02,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
17-519,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
Radiotherapy in Breast Cancer,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 3
2020-A01423-36,Observational,,,,Cohort,,Probability Sample,
STML-ELA-0222,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
C3441055,Observational,,Drug,,Cohort,,Non-Probability Sample,
CRF-NHI01,Observational,,,,Cohort,,Non-Probability Sample,
H-41818,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CLUE-BCL,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
nihan25,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2020-0927,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
2020FES,Interventional,Experimental,Radiation,Single Group Assignment,,,,"Phase 1, Phase 2"
PRO00034502,Observational,,Other,,Case-Crossover,,Non-Probability Sample,
Breast cancer in females,Observational,,Other,,Other,,Non-Probability Sample,
SCLND0919,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
PUMA-NER-6203,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
KBCSG-24,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
AHQU-2021001,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
Fenofibrate in Breast Cancer,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Not Applicable
AHQU-2021003,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2018LS148,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
PekingUMCH-BCa093,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,"Phase 1, Phase 2"
ADA,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
514-0213/21-5000,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
CentroHLOBreastUnit,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
CCR4965,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
GCO 21-0699,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
DBCG RT Natural Trial,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Not Applicable
IPNCb-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CSPC-KAL-BC-12,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
003-2017,Interventional,Experimental,Radiation,Sequential Assignment,,,,Not Applicable
Breast cancer treatment,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 4
18-561,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
E19137,Observational,,,,Case-Control,,Non-Probability Sample,
Vitamin D and breast cancer,Interventional,No Intervention,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
SYSEC-KY-KS-2021-182,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
CASE6119,Interventional,Experimental,Biological,Parallel Assignment,,,,Early Phase 1
KX-ORAX-CN-007,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
NCC2018M-042,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CTO-IUSCCC-0803,Observational,,,,Case-Only,,Probability Sample,
55791222.0.0000.5313,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
